,국내발생,해외유입,신규확진,누적확진,격리증감,격리누적,신규격리해제,누적격리해제,신규사망,누적사망
서울,292,6,298,20899,177,8143,114,12543,6,213
부산,23,0,23,2083,-4,497,26,1522,1,64
대구,10,0,10,7987,-8,345,17,7439,0,203
인천,37,4,41,3254,-64,808,104,2412,1,34
광주,28,0,28,1292,4,325,23,959,1,8
대전,9,0,9,900,5,140,4,753,0,7
울산,9,0,9,760,1,196,7,532,1,32
세종,3,0,3,158,0,21,3,136,0,1
경기,294,9,303,16250,138,4243,157,11695,8,312
강원,30,0,30,1402,3,354,27,1031,0,17
충북,14,0,14,1338,-8,560,21,744,1,34
충남,19,1,20,1769,-14,423,34,1321,0,25
전북,2,0,2,903,-11,167,13,715,0,21
전남,0,1,1,598,-10,81,11,511,0,6
경북,34,2,36,2595,-5,409,41,2124,0,62
경남,20,0,20,1512,-11,333,31,1174,0,5
제주,9,0,9,470,-11,114,20,356,0,0
